movieId,Name,Year of release,Runtime,Language,Cast_Crew,ImageURL,Trailer,Plot,Rating,Genre,Reviews,watchList
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,142 min,English,"['J.J. Abrams', 'Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley']","https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2033762073,"    While the First Order continues to ravage the galaxy, Rey finalizes her training as a Jedi. But danger suddenly rises from the ashes as the evil Emperor Palpatine mysteriously returns from the dead. While working with Finn and Poe Dameron to fulfill a new mission, Rey will not only face Kylo Ren once more, but she will also finally discover the truth about her parents as well as a deadly secret that could determine her future and the fate of the ultimate final showdown that is to come.",6.8,"['Action', ' Adventure', ' Fantasy            ']","[' And Now We Know Why Torrents Were Invented', ' Worst way to end 42 years of an important cultural pheonom', ' Hi JJ Abrams And Kathleen Kennedy']",[]
tt7975244,Jumanji: The Next Level,2019,123 min,English,"['Jake Kasdan', 'Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",vi1173208857,"    The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous game.",6.7,"['Action', ' Adventure', ' Comedy            ']","[' Thoroughly Entertaining sequel!', ' Still amazing, more silly jokes and chaos on the screen!', ' Great sequel and laugh fest, the new Jumanji knows what its doing']","['https://www.fandangonow.com/details/MMV3FFCD4C626E61D79BAC131C4E65975E42', 'https://itunes.apple.com/movie/jumanji-the-next-level/id1488964698?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1304701/Jumanji-The-Next-Level']"
tt1950186,Ford v Ferrari,2019,152 min,Japanese,"['Carroll Shelby', 'Ken Miles', 'James Mangold', 'Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']","https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UX182_CR0,0,182,268_AL_.jpg",vi1737539353,"    As Enzo Ferrari's fast Rosso-Corsa racing cars dominate the mid-1960s motorsport world, the American car designer, Carroll Shelby, is forced to retire after winning the demanding 1959 '24 Hours of Le Mans' endurance race. But, before long, an unexpected proposition by the Vice President of Henry Ford's motor company, Lee Iacocca, will offer an opportunity to beat the Italians at their own game. Now, under those pressing circumstances, the British sports car driver and racing engineer, Ken Miles, reluctantly agrees to lend a hand and improve the firm's image, as Ford's race team has less than ninety days to rewrite history. As a result, the non-conformist duo comes up with the mighty Ford GT40 Mk I high-performance racing car. Can Shelby and Miles break Ferrari's streak?",8.1,"['Action', ' Biography', ' Drama            ']","[' Puts my faith in the movie business again', ' As close as possible to the truth but!', ' Oscar Winning Performance']","['https://www.fandangonow.com/details/MMVC295347175B0B02534FDD1089B0309B7A', 'https://itunes.apple.com/movie/ford-v-ferrari/id1484427364?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1241040/Ford-v-Ferrari']"
tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019,137 min,Russian,"['David Leitch', 'Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']","https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",vi3698310169,"    Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",6.5,"['Action', ' Adventure            ']","[' Hobbs & Shaw', ' Not a masterpiece, but entertaining AF!', ' Adrenaline-fueled ride absurd in terms of its believability but fun']",[]
tt5814534,Spies in Disguise,2019,102 min,Japanese,"['Nick Bruno', 'Troy Quane', 'Rachel Brosnahan', 'Jarrett Bruno', 'Claire Crosby', 'Toru Uchikado']","https://m.media-amazon.com/images/M/MV5BNzg1MzM3OWUtNjgzZC00NjMzLWE1NzAtOThiMDgyMjhhZDBhXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",vi805420825,"    Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way. And if this odd couple can't learn to work as a team, the whole world is in peril.",6.8,"['Animation', ' Action', ' Adventure            ']","[' Surprised', ' Just watched it with kids and we loved it', ' Very Cute.']","['https://www.fandangonow.com/details/MMVC9E9143F8C05AED7C5FCBC3417D483A1D', 'https://itunes.apple.com/movie/spies-in-disguise/id1491103804?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1280395/Spies-in-Disguise']"
tt6924650,Midway,2019,138 min,Mandarin,"['Roland Emmerich', 'Ed Skrein', 'Patrick Wilson', 'Woody Harrelson', 'Luke Evans']","https://m.media-amazon.com/images/M/MV5BYzA5Y2Q2YjktZDYwMi00NTdmLThlMjctMmY5NDgwOWRhZDUxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",vi3198992153,"    MIDWAY centers on the Battle of Midway, a clash between the American fleet and the Imperial Japanese Navy which marked a pivotal turning point in the Pacific Theater during WWII. The film, based on the real-life events of this heroic feat, tells the story of the leaders and soldiers who used their instincts, fortitude and bravery to overcome the odds.",6.7,"['Action', ' Drama', ' History            ']","[' 10 Stars from 26-year Navy veteran', ' Account of Crucial Naval Battle in Emmerich Style', ' Hollywood actually made a decent war movie without pushing a political agenda']","['https://www.fandangonow.com/details/1MVa24ecba453f09b300428a53d98999c51', 'http://www.amazon.com/gp/product/B002A9X9M0/ref=atv_feed_catalog?tag=rottetomao_aiv_mv-20', 'https://itunes.apple.com/movie/midway/id313972275?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/5118/Midway']"
tt5033998,Charlie's Angels,2019,118 min,English,"['Elizabeth Banks', 'Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']","https://m.media-amazon.com/images/M/MV5BN2VkMjQwZWMtMzc1NC00ZjJiLWJlNTMtNmRjOTE2ZTJmYzUwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY268_CR7,0,182,268_AL_.jpg",vi3874602777,"    Sabina Wilson (Kristen Stewart), Elena Houghlin (Naomi Scott), and Jane Kano (Ella Balinska) are working for the mysterious Charles Townsend (Robert Clotworthy), whose security and investigative agency has expanded internationally. With the world's smartest, bravest, and most highly trained women all over the globe, there are now teams of Angels guided by multiple Bosleys taking on the toughest jobs everywhere.",4.5,"['Action', ' Adventure', ' Comedy            ']","[' Men dont like female heroes. Hmmm', ' ""Men don\'t wanna watch female hero\'s on the screen""', ' Female perspective']","['https://www.fandangonow.com/details/1MV4bc3d25ab22fbdab69dab7fd670fac1a', 'https://www.netflix.com/title/60003242', 'http://www.amazon.com/gp/product/B008Q016EU/ref=atv_feed_catalog?tag=rottetomao_aiv_mv-20', 'https://itunes.apple.com/movie/charlies-angels/id531648682?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/20634/Charlies-Angels']"
tt4154796,Avengers: Endgame,2019,181 min,German,"['Anthony Russo', 'Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2163260441,"    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos's actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...",8.4,"['Action', ' Adventure', ' Drama            ']","["" An experience you'll gonna remember forever."", ' Endgame', ' Amazing, but the more I dwell on it the worse it becomes']","['https://www.fandangonow.com/details/MMVAF76018A477C2826A4EC8747C40B7BE27', 'https://itunes.apple.com/movie/avengers-endgame/id1459467957?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1100922/Avengers-Endgame']"
tt8367814,The Gentlemen,2019,113 min,English,"['Guy Ritchie', 'Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']","https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX182_CR0,0,182,268_AL_.jpg",vi3741564697,"    An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",8.1,"['Action', ' Comedy', ' Crime            ']","["" I don't understand the critics, this is brilliant."", ' Ritchie returns to the crime genre and does so masterfully', "" Guy's Best Since Snatch.""]","['https://www.fandangonow.com/details/MMV4EE8E53FFB7F5A9A210C0A8514A9ACD52', 'http://www.vudu.com/movies/#!content/1281737/The-Gentlemen']"
tt6902676,Guns Akimbo,2019,95 min,English,"['Jason Lei Howden', 'Daniel Radcliffe', 'Samara Weaving', 'Rhys Darby', 'Ned Dennehy']","https://m.media-amazon.com/images/M/MV5BNzU3ZTI1OTktNjVkNy00OWEzLWIyNzAtMWQ5YjRkZDU1ZjAxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2390671129,"    Miles is stuck in a dead-end job, still in love with his ex-girlfriend Nova. Unbeknownst to him, a gang called Skizm is running a deadly competition within his city in which complete strangers fight to the death for the entertainment of an online audience of millions. Miles soon finds himself caught up in the game and forced to fight in a battle to the death. Initially, Miles' lifetime of running from his problems pays off as he manages to elude his first opponent but when Nova is kidnapped, he must finally stop running and overcome his fears to fight for the girl he loves.",6.3,"['Action', ' Comedy            ']","[' Great ideas wasted by undercooked story', ' Over the top, ridiculous, and entertaining', ' Firing in all directions']","['https://www.fandangonow.com/details/MMV00595CAFA6F1DA2FF8932EBDD88855B77', 'https://itunes.apple.com/movie/guns-akimbo/id1497984200?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1349724/Guns-Akimbo']"
tt8106534,6 Underground,2019,128 min,French,"['Michael Bay', 'Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy']","https://m.media-amazon.com/images/M/MV5BNzE2ZjQxNjEtNmI2ZS00ZmU0LTg4M2YtYzVhYmRiYWU0YzI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2200092441,"    What's the best part of being dead? It's the freedom. The freedom to fight the evil which lurks in our world. 6 Underground's group of unnamed individuals have chosen to change the future. The team's brought together by enigmatic leader code-named 'One', whose sole mission is to ensure that, he and his fellow teammates will have their actions remembered.",6.1,"['Action', ' Comedy', ' Thriller            ']","[' The most Micheal Bay movie Micheal Bay ever Micheal Bayed', "" It's a Friday night movie"", "" This isn't Scorsese or Mann.... It's Bay! Just have fun.""]",['https://www.netflix.com/title/81001887']
tt6450804,Terminator: Dark Fate,2019,128 min,Spanish,"['Tim Miller', 'Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes']","https://m.media-amazon.com/images/M/MV5BOWExYzVlZDgtY2E1ZS00NTFjLWFmZWItZjI2NWY5ZWJiNTE4XkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX182_CR0,0,182,268_AL_.jpg",vi3787112217,"    A young female Mexican worker, Dani Ramos, is hunted down by a virtually indestructible terminator from the future called a REV-9. However, she is protected by an enhanced human named Grace who is also from the future. They flee from the unstoppable terminator and out of the blue Sarah Connor helps them on the road. All three head to Laredo, Texas, where Grace has the coordinates of a possible support and where they meet a T-800 who is living in an isolated location with his family. The group teams up to try to destroy the REV-9.",6.3,"['Action', ' Adventure', ' Sci-Fi            ']","[' Franchise: Terminated', ' Why the Terminator series is done', ' We did this']","['https://www.fandangonow.com/details/MMVE795A1DEAAFB96CDE40FC2ECABCE8617C', 'https://itunes.apple.com/movie/terminator-dark-fate/id1483823959?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1271267/Terminator-Dark-Fate']"
tt1560220,Zombieland: Double Tap,2019,99 min,Inuktitut,"['Ruben Fleischer', 'Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin']","https://m.media-amazon.com/images/M/MV5BYjcwNjZhNGYtOGNlNy00NGI3LTlmODMtMGZlMjA3YjA0Njg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",vi3716923161,"    One long decade after the post-apocalyptic events in Zombieland (2009), the resilient quartet of survivors--the tough-as-nails zombie exterminator, Tallahassee; his rule-making comrade, Columbus; the free-spirited huntress, Wichita, and her younger sister, Little Rock--find themselves in the bosom of a now-derelict White House. However, in a rabid world still overrun by multitudes of walking dead and mutated strains of evolved animated corpses, a premeditated separation will send the team back to square one, searching, once more, for the promised land. Now, all hope rests on Babylon: an entirely organic commune of blissful vegetarian pacifists who love to party. Is this the end of the road?",6.8,"['Action', ' Comedy', ' Horror            ']","[' Zoey Deutch Steals The Movie', ' Flawed and repeat', ' ""Do you know why she\'s still alive?... Because zombies eat brains and she ain\'t got any""....']","['https://www.fandangonow.com/details/MMV681F95CA0E0AA71354C9BCEBD2F16D2D2', 'https://itunes.apple.com/movie/zombieland-double-tap/id1483281215?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1241956/Zombieland-Double-Tap']"
tt7456310,Anna,2019,119 min,French,"['Luc Besson', 'Sasha Luss', 'Helen Mirren', 'Luke Evans', 'Cillian Murphy']","https://m.media-amazon.com/images/M/MV5BOWUyYTU4NTQtYWQ2Mi00NzE0LTk0OTMtN2MzNjRkZjFkZTU2XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UY268_CR3,0,182,268_AL_.jpg",vi1982643481,"    Anna (Sasha Luss) is a young beautiful girl who managed to make a career in the fashion world. More recently, she was a simple model from Moscow, but in a very short time, she was able to enter the elite. Once she entered the hotel of an influential and very dangerous person, after which a whole mountain of corpses was discovered there. The girl is being interrogated by special services, but she has absolutely nothing to tell them on this fact. She looks scared, and no one suspects her. Anna goes free and begins preparing for a new business. Under the guise of a fragile beauty, is hiding the world's most dangerous assassin, who has not yet misfired.",6.6,"['Action', ' Thriller            ']","[' Anna', ' Kept me watching...', ' Anna - Movie Review']",[]
tt0437086,Alita: Battle Angel,2019,122 min,Spanish,"['Robert Rodriguez', 'Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali']","https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",vi3682056729,"    Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of death and destruction left behind from Tiphares. But to accomplish her true purpose, she must fight and kill. And that is where Alita's true significance comes to bear. She is an angel from heaven. She is an angel of death.",7.3,"['Action', ' Adventure', ' Sci-Fi            ']","[' Alita', ' Astonishing', ' Entertaining from start to finish']","['https://www.fandangonow.com/details/MMV000E944A9C938D3D0D727AE4C47D5C2D6', 'https://itunes.apple.com/movie/alita-battle-angel/id1451012705?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/915670/Alita-Battle-Angel']"
tt6146586,John Wick: Chapter 3 - Parabellum,2019,131 min,Latin,"['Chad Stahelski', 'Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne']","https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg",vi3203841305,"    In this third installment of the adrenaline-fueled action franchise, skilled assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado, but the world's most ruthless hit men and women await his every turn.",7.5,"['Action', ' Crime', ' Thriller            ']","[' the fighting scenes get dull after a while', ' Too much action, lacking storyline', ' John Wick']","['https://www.fandangonow.com/details/MMV0B5CF793A479BF53CAECF57B881CEFA18', 'https://itunes.apple.com/movie/john-wick-chapter-3-parabellum/id1462496695?at=10l9IP&ct=RT&uo=5', 'http://www.vudu.com/movies/#!content/1130535/John-Wick-Chapter-3-Parabellum']"
tt6320628,Spider-Man: Far from Home,2019,129 min,Czech,"['Jon Watts', 'Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei']","https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2600385561,"    Our friendly neighborhood Super Hero decides to join his best friends Ned, MJ, and the rest of the gang on a European vacation. However, Peter's plan to leave super heroics behind for a few weeks are quickly scrapped when he begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent.",7.5,"['Action', ' Adventure', ' Sci-Fi            ']","[' Endgame was garbage...', ' Universal Spidey', ' I will have to give it a 10']",[]
tt8688634,21 Bridges,2019,99 min,English,"['Brian Kirk', 'Chadwick Boseman', 'Sienna Miller', 'J.K. Simmons', 'Stephan James']","https://m.media-amazon.com/images/M/MV5BYTg4YzEzNDQtZDAxOS00M2YyLTljZWEtNjk4YTc4NDM2NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",vi2682961689,"    Thrust into a citywide manhunt for a duo of cop killers, NYPD detective Andre Davis begins to uncover a massive conspiracy that links his fellow police officers to a criminal empire and must decide who he is hunting and who is actually hunting him. During the manhunt, Manhattan is completely locked down for the first time in its history - no exit or entry to the island including all 21 bridges.",6.6,"['Action', ' Crime', ' Drama            ']","[' Not bad I guess!', ' Solid old school cop thriller', ' One hell of a tight script']","['https://www.fandangonow.com/details/MMV5DE66B54D91DC973CBDC6302B8424A198', 'https://itunes.apple.com/movie/21-bridges/id1483820566?at=10l9IP&ct=RT&uo=5']"
